Primary ID,%5min,%10min,%15min,%30min,%60min,%120min,%180min,%240min
Aciclovir_N7_2,12.751686851834055,19.66173191823399,24.712081788121885,38.03826317266312,60.851019481396456,89.27574216025084,96.8316075107112,97.36205045961977
Aciclovir_N8_1,5.318245720630083,10.266451618926263,14.620083855154796,28.207353976995982,53.81578538301514,89.22767799092964,94.51987600475488,95.03880650679548
Aciclovir_N8_2,5.356449902971848,10.09006025318884,14.363197706308611,27.49696600488748,51.68823631599293,85.93533482149779,96.0408389551866,96.56841982445472
Aciclovir_N9_1,8.592639801581397,17.92761697965049,27.113539683924923,51.40731172940982,76.19638733241983,98.12904733510705,98.91802766217992,99.45901383108996
Aciclovir_N9_2,8.12314194289495,17.690026166001044,27.31259888094344,54.20424576039466,82.73702148985676,93.68878690488022,98.91829242316368,99.45914621158184
Aciclovir_N10_1,5.727586865180316,11.7537283971683,17.352512995008293,33.70387189202906,84.55674553936103,90.67898559894692,96.60806889766856,99.45787257888269
Aciclovir_N10_2,6.884685916569079,13.194880837002612,20.70360173216265,37.49147509785744,88.04714064473906,92.34718295806304,98.66158835120248,99.45838475992076
Aciclovir_N11_1,5.727586865180316,11.7537283971683,17.352512995008293,33.70387189202906,84.55674553936103,90.67898559894692,96.60806889766856,99.45787257888269
Aciclovir_N11_2,6.884685916569079,13.194880837002612,20.70360173216265,37.49147509785744,88.04714064473906,92.34718295806304,98.66158835120248,99.45838475992076
Hidroclorotiazida_N1_1,8.638924150489279,14.912899138329418,20.6372555801722,36.99214532318663,60.84834990361689,89.87682943597801,98.41715793557373,99.4575625675849
Hidroclorotiazida_N1_2,6.523998289265644,10.880993208420348,15.948623187834071,28.19508147498883,48.98311639766859,79.73306768223031,98.91263717917587,99.45631858958792
Hidroclorotiazida_N2_1,7.341380087604742,12.894421325780398,18.15552996438698,32.97239929749299,57.20211898971802,88.03384178181092,94.89521978048,99.12517242999152
Hidroclorotiazida_N2_2,9.558954257300812,14.73839984711858,20.07304362918781,34.34748728046815,62.78941390890679,93.5770732142512,93.5770732142512,98.4481883155025
Hidroclorotiazida_N3_1,5.479677018141447,8.614597158901326,12.578535896155817,24.23583790369558,41.93244765054009,63.427136347038406,77.58774582573018,86.14633968960304
