Primary ID,ST-Hardness (g),ST-Rigidity at 2% deformation (g),ST-Rigidity at 4% deformation (g),ST-Peak stress (N/mp),3PBT-Hardness (g),3PBT-Deformation at hardness (mm),3PBT-Total work (mJ),3PBT-Maximum force (N),3PBT-Peak stress (N/mp),3PBT-Flexural stress (g/mmp) (Samaro 2021 Prasad 2019),3PBT-Flexural strain (%),3PBT-Breaking distance (mm),3PBT-Stiffness (N/mm) (Hu 2022)
BCS2_S92,295.0,215.0,295.0,1040634.0,469.5,0.8799999999999997,2.29,4.6011,1812686.0,46.28569984285485,1.5628799999999994,0.8799999999999997,5.228522727272729
BCS2_S93,440.0,405.0,260.0,1659587.0,476.5,1.2399999999999998,3.59,4.6697,1963390.0,56.460092250739216,2.0712959999999994,1.2399999999999998,3.765887096774194
BCS2_S93,440.0,405.0,260.0,1659587.0,476.5,1.2399999999999998,3.59,4.6697,1963390.0,56.460092250739216,2.0712959999999994,1.2399999999999998,3.765887096774194
BCS2_S94,420.0,305.0,410.0,1435120.0,685.5,1.2399999999999998,4.68,6.7179,2556068.0,69.82012358763636,2.1784319999999995,1.2399999999999998,5.417661290322582
BCS2_S94,420.0,305.0,410.0,1435120.0,685.5,1.2399999999999998,4.68,6.7179,2556068.0,69.82012358763636,2.1784319999999995,1.2399999999999998,5.417661290322582
BCS2_S95,290.0,60.0,210.0,1210182.0,496.5,1.0299999999999998,2.7,4.8656999999999995,2173661.0,64.20747070212003,1.6710719999999997,1.0299999999999998,4.723980582524272
BCS2_S95,290.0,60.0,210.0,1210182.0,496.5,1.0299999999999998,2.7,4.8656999999999995,2173661.0,64.20747070212003,1.6710719999999997,1.0299999999999998,4.723980582524272
BCS2_S96,920.0,665.0,850.0,4027731.0,299.0,0.85,1.5299999999999998,2.9301999999999997,1309013.0,38.666734622223345,1.37904,0.85,3.4472941176470586
BCS2_S96,920.0,665.0,850.0,4027731.0,299.0,0.85,1.5299999999999998,2.9301999999999997,1309013.0,38.666734622223345,1.37904,0.85,3.4472941176470586
BCS2_S97,1225.0,615.0,910.0,4883393.0,543.0,1.1200000000000003,3.38,5.3214,2071989.0,57.15977732572731,1.9461120000000007,1.1200000000000003,4.751249999999998
BCS2_S97,1225.0,615.0,910.0,4883393.0,543.0,1.1200000000000003,3.38,5.3214,2071989.0,57.15977732572731,1.9461120000000007,1.1200000000000003,4.751249999999998
BCS2_S98,1470.0,1010.0,1345.0,6267728.0,307.5,0.7100000000000002,1.4799999999999998,3.0135,1121020.0,30.31491523254072,1.2609600000000003,0.7100000000000002,4.244366197183098
BCS2_S98,1470.0,1010.0,1345.0,6267728.0,307.5,0.7100000000000002,1.4799999999999998,3.0135,1121020.0,30.31491523254072,1.2609600000000003,0.7100000000000002,4.244366197183098
BCS2_S99,1795.0,1365.0,1745.0,7396192.0,288.5,0.75,1.4899999999999998,2.8272999999999997,1136232.0,31.930978977049108,1.2816,0.75,3.769733333333333
BCS2_S99,1795.0,1365.0,1745.0,7396192.0,288.5,0.75,1.4899999999999998,2.8272999999999997,1136232.0,31.930978977049108,1.2816,0.75,3.769733333333333
BCS2_S100,2320.0,1820.0,2170.0,9681459.0,353.5,0.8100000000000002,1.8799999999999997,3.4642999999999997,1392229.0,39.125133685916325,1.3841280000000005,0.8100000000000002,4.276913580246912
BCS2_S100,2320.0,1820.0,2170.0,9681459.0,353.5,0.8100000000000002,1.8799999999999997,3.4642999999999997,1392229.0,39.125133685916325,1.3841280000000005,0.8100000000000002,4.276913580246912
BCS2_S101,4480.0,2625.0,4250.0,15469645.0,684.5,1.8,6.51,6.7081,3211795.0,98.6590802749657,2.8166399999999996,1.8,3.726722222222222
BCS2_S101,4480.0,2625.0,4250.0,15469645.0,684.5,1.8,6.51,6.7081,3211795.0,98.6590802749657,2.8166399999999996,1.8,3.726722222222222
BCS2_S102,4195.0,3060.0,3945.0,15465751.0,792.5,1.8399999999999999,8.33,7.7665,3772704.0,116.35382118203627,2.861568,1.8399999999999999,4.220923913043478
BCS2_S102,4195.0,3060.0,3945.0,15465751.0,792.5,1.8399999999999999,8.33,7.7665,3772704.0,116.35382118203627,2.861568,1.8399999999999999,4.220923913043478
BCS2_S103,4335.0,2430.0,4160.0,15803653.0,801.5,1.7299999999999998,7.49,7.854699999999999,3760780.0,115.52264841546386,2.7071039999999993,1.7299999999999998,4.540289017341041
BCS2_S103,4335.0,2430.0,4160.0,15803653.0,801.5,1.7299999999999998,7.49,7.854699999999999,3760780.0,115.52264841546386,2.7071039999999993,1.7299999999999998,4.540289017341041
BCS2_S104,4785.0,2045.0,4265.0,14944210.0,726.0,1.8,7.11,7.1148,3456130.0,106.59037751187172,2.79936,1.8,3.9526666666666666
BCS2_S104,4785.0,2045.0,4265.0,14944210.0,726.0,1.8,7.11,7.1148,3456130.0,106.59037751187172,2.79936,1.8,3.9526666666666666
BCS2_S105,5430.0,2040.0,4965.0,17632488.0,911.0,1.9299999999999997,9.43,8.9278,4024260.0,119.92699592221886,3.1127039999999995,1.9299999999999997,4.625803108808291
BCS2_S105,5430.0,2040.0,4965.0,17632488.0,911.0,1.9299999999999997,9.43,8.9278,4024260.0,119.92699592221886,3.1127039999999995,1.9299999999999997,4.625803108808291
BCS2_S106,5195.0,1890.0,4450.0,19594440.0,724.0,2.0100000000000002,7.49,7.0952,3397136.0,104.35233618564672,3.1452480000000005,2.0100000000000002,3.5299502487562187
BCS2_S106,5195.0,1890.0,4450.0,19594440.0,724.0,2.0100000000000002,7.49,7.0952,3397136.0,104.35233618564672,3.1452480000000005,2.0100000000000002,3.5299502487562187
BCS2_S107,5570.0,2450.0,5125.0,21675810.0,798.5,1.8399999999999999,7.88,7.8252999999999995,3449608.0,101.45059059482122,3.0028799999999998,1.8399999999999999,4.252880434782608
